instance,blocks,bays,objective,T,L,P,runtime_sec,checker_feasible,timed_out,valid_under_time_limit,accepted_for_score,error_message,algorithm_version,report_path,solution_file
prob_1.json,100,2,606628.0,8.0,1700,1810.0,17.357877,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_1.solution.json
prob_2.json,100,3,76910.0,0.0,1001,446.0,18.047253,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_2.solution.json
prob_3.json,100,3,188500.0,0.0,1225,1175.0,14.529249,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_3.solution.json
prob_4.json,100,2,331591.0,6.0,1669,942.0,12.066387,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_4.solution.json
prob_5.json,150,3,169685.0,0.0,1505,1061.0,19.784950,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_5.solution.json
prob_6.json,150,3,715812.0,7.0,1936,3299.0,32.664903,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_6.solution.json
prob_7.json,150,3,242600.0,0.0,3200,1468.0,22.419475,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_7.solution.json
prob_8.json,150,2,85472.0,0.0,1068,406.0,11.081351,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_8.solution.json
prob_9.json,200,3,180488.0,1.0,1391,1068.0,33.553559,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_9.solution.json
prob_10.json,200,4,1274865.0,66.0,2577,2232.0,22.071453,true,false,true,true,,reboot_v210_20260626_trackA_latest_feasible_tardy_repair,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\report.html,reports\ogc2026_reboot_v001\full_reboot_v210_train40_20260626_001\solutions\trackA__reboot_v210_20260626_trackA_latest_feasible_tardy_repair\prob_10.solution.json
